subject,file_name,file_kind,path,missing_regular_eye_events,regular_eye_event_rows
NDARAB514MAJ,NDARAB514MAJ_Video-DM_Events.txt,events,/data/work/st156392/DATASET/ET/NDARAB514MAJ/Eyetracking/txt/NDARAB514MAJ_Video-DM_Events.txt,true,0
NDARAB514MAJ,NDARAB514MAJ_Video-TP_Events.txt,events,/data/work/st156392/DATASET/ET/NDARAB514MAJ/Eyetracking/txt/NDARAB514MAJ_Video-TP_Events.txt,true,0
NDARAB514MAJ,NDARAB514MAJ_Video-WK_Events.txt,events,/data/work/st156392/DATASET/ET/NDARAB514MAJ/Eyetracking/txt/NDARAB514MAJ_Video-WK_Events.txt,true,0
NDARAG644KE3,NDARAG644KE3_SAIIT_2AFC_Block3_Events.txt,events,/data/work/st156392/DATASET/ET/NDARAG644KE3/Eyetracking/txt/NDARAG644KE3_SAIIT_2AFC_Block3_Events.txt,true,0
NDARAV187GJ5,NDARAV187GJ5_Video2_Events.txt,events,/data/work/st156392/DATASET/ET/NDARAV187GJ5/Eyetracking/txt/NDARAV187GJ5_Video2_Events.txt,true,0
NDARBC865CXQ,NDARBC865CXQ_Video-DM_Events.txt,events,/data/work/st156392/DATASET/ET/NDARBC865CXQ/Eyetracking/txt/NDARBC865CXQ_Video-DM_Events.txt,true,0
NDARHX145ZKV,NDARHX145ZKV_Video2_Events.txt,events,/data/work/st156392/DATASET/ET/NDARHX145ZKV/Eyetracking/txt/NDARHX145ZKV_Video2_Events.txt,true,0
NDARHX145ZKV,NDARHX145ZKV_Video3_Events.txt,events,/data/work/st156392/DATASET/ET/NDARHX145ZKV/Eyetracking/txt/NDARHX145ZKV_Video3_Events.txt,true,0
NDARHX145ZKV,NDARHX145ZKV_Video4_Events.txt,events,/data/work/st156392/DATASET/ET/NDARHX145ZKV/Eyetracking/txt/NDARHX145ZKV_Video4_Events.txt,true,0
NDARKE153NEM,NDARKE153NEM_resting_Events.txt,events,/data/work/st156392/DATASET/ET/NDARKE153NEM/Eyetracking/txt/NDARKE153NEM_resting_Events.txt,true,0
NDARLN550RM6,NDARLN550RM6_Video-DM_Events.txt,events,/data/work/st156392/DATASET/ET/NDARLN550RM6/Eyetracking/txt/NDARLN550RM6_Video-DM_Events.txt,true,0
NDARLR765LA3,NDARLR765LA3_Video-WK_Events.txt,events,/data/work/st156392/DATASET/ET/NDARLR765LA3/Eyetracking/txt/NDARLR765LA3_Video-WK_Events.txt,true,0
NDARMA449YB6,NDARMA449YB6_vis_learn_Events.txt,events,/data/work/st156392/DATASET/ET/NDARMA449YB6/Eyetracking/txt/NDARMA449YB6_vis_learn_Events.txt,true,0
NDARMN802MG9,NDARMN802MG9_Video-DM_Events.txt,events,/data/work/st156392/DATASET/ET/NDARMN802MG9/Eyetracking/txt/NDARMN802MG9_Video-DM_Events.txt,true,0
NDARPP806NL2,NDARPP806NL2_SurrSupp_Block1_Events.txt,events,/data/work/st156392/DATASET/ET/NDARPP806NL2/Eyetracking/txt/NDARPP806NL2_SurrSupp_Block1_Events.txt,true,0
NDARPR070BLE,NDARPR070BLE_Video-TP_Events.txt,events,/data/work/st156392/DATASET/ET/NDARPR070BLE/Eyetracking/txt/NDARPR070BLE_Video-TP_Events.txt,true,0
NDARPV249ZRF,NDARPV249ZRF_SurrSupp_Block1_Events.txt,events,/data/work/st156392/DATASET/ET/NDARPV249ZRF/Eyetracking/txt/NDARPV249ZRF_SurrSupp_Block1_Events.txt,true,0
NDARPV249ZRF,NDARPV249ZRF_Video1_Events.txt,events,/data/work/st156392/DATASET/ET/NDARPV249ZRF/Eyetracking/txt/NDARPV249ZRF_Video1_Events.txt,true,0
NDARTE551TFV,NDARTE551TFV_Video-WK_Events.txt,events,/data/work/st156392/DATASET/ET/NDARTE551TFV/Eyetracking/txt/NDARTE551TFV_Video-WK_Events.txt,true,0
NDARTG679NKQ,NDARTG679NKQ_Video3_Events.txt,events,/data/work/st156392/DATASET/ET/NDARTG679NKQ/Eyetracking/txt/NDARTG679NKQ_Video3_Events.txt,true,0
NDARTN793TBY,NDARTN793TBY_Video-TP_Events.txt,events,/data/work/st156392/DATASET/ET/NDARTN793TBY/Eyetracking/txt/NDARTN793TBY_Video-TP_Events.txt,true,0
NDARWA542JCG,NDARWA542JCG_Video-TP_Events.txt,events,/data/work/st156392/DATASET/ET/NDARWA542JCG/Eyetracking/txt/NDARWA542JCG_Video-TP_Events.txt,true,0
NDARXJ452HAJ,NDARXJ452HAJ_SAIIT_2AFC_Block1_Events.txt,events,/data/work/st156392/DATASET/ET/NDARXJ452HAJ/Eyetracking/txt/NDARXJ452HAJ_SAIIT_2AFC_Block1_Events.txt,true,0
NDARXL534AZA,NDARXL534AZA_SAIIT_2AFC_Block3_Events.txt,events,/data/work/st156392/DATASET/ET/NDARXL534AZA/Eyetracking/txt/NDARXL534AZA_SAIIT_2AFC_Block3_Events.txt,true,0
NDARXL534AZA,NDARXL534AZA_WISC_2nd_Events.txt,events,/data/work/st156392/DATASET/ET/NDARXL534AZA/Eyetracking/txt/NDARXL534AZA_WISC_2nd_Events.txt,true,0
